# Program:featureCounts v2.0.0; Command:"/Volumes/userdata/staff_users/michaelblack/bin/featureCounts" "-a" "../Genome/Saccharomyces_cerevisiae.R64-1-1.99.gtf" "-o" "yeast_counts_all_chr.txt" "../STAR/SRR014335-Aligned.out.sam" "../STAR/SRR014336-Aligned.out.sam" "../STAR/SRR014337-Aligned.out.sam" "../STAR/SRR014339-Aligned.out.sam" "../STAR/SRR014340-Aligned.out.sam" "../STAR/SRR014341-Aligned.out.sam" 
Geneid	Chr	Start	End	Strand	Length	../STAR/SRR014335-Aligned.out.sam	../STAR/SRR014336-Aligned.out.sam	../STAR/SRR014337-Aligned.out.sam	../STAR/SRR014339-Aligned.out.sam	../STAR/SRR014340-Aligned.out.sam	../STAR/SRR014341-Aligned.out.sam
YOR027W	XV	381053	382822	+	1770	3875	3769	3696	2156	2250	2072
YOR028C	XV	383533	384420	-	888	668	717	726	449	443	486
YOR029W	XV	384600	384935	+	336	14	11	21	17	10	10
YOR030W	XV	386825	388684	+	1860	348	317	313	267	265	261
YOR032C	XV	389771	391075	-	1305	69	72	69	66	82	64
YOR032W-A	XV	392176	392376	+	201	13	14	14	14	14	15
YOR033C	XV	392416	394524	-	2109	353	379	340	319	350	325
YOR034C	XV	394837	397086	-	2250	805	773	748	520	541	453
YOR034C-A	XV	397426	397668	-	243	49	54	35	47	44	38
YOR035C	XV	397735	400104	-	2370	723	662	640	678	666	659
YOR036W	XV	400348	401214	+	867	413	449	408	556	648	588
YOR037W	XV	401555	402655	+	1101	115	118	111	193	200	207
YOR038C	XV	402761	405388	-	2628	273	267	252	246	242	222
YOR039W	XV	405768	406544	+	777	312	324	317	417	426	416
YOR040W	XV	407064	407921	+	858	183	231	187	4589	4557	4431
snR9	XV	407948	408134	-	187	345	404	308	24048	24451	23784
YOR041C	XV	408358	408789	-	432	28	16	24	50	58	52
YOR042W	XV	408425	409660	+	1236	599	617	589	1978	2007	1920
snR62	XV	409765	409864	-	100	9	6	5	90	109	79
YOR043W	XV	410870	412330	+	1461	361	406	327	353	359	368
YOR044W	XV	413007	413480	+	474	71	70	65	271	288	252
YOR045W	XV	413852	414037	+	186	238	218	207	498	486	482
YOR046C	XV	414459	415907	-	1449	525	603	565	677	693	697
YOR047C	XV	416347	417681	-	1335	166	141	142	168	128	158
YOR048C	XV	418630	421650	-	3021	420	449	431	655	663	567
YOR049C	XV	422668	423732	-	1065	475	482	461	188	196	166
YOR050C	XV	424270	424617	-	348	86	82	75	53	54	44
YOR051C	XV	424846	426084	-	1239	218	237	232	570	603	591
YOR052C	XV	426772	427224	-	453	944	903	899	1106	1090	1082
YOR053W	XV	427817	428158	+	342	0	0	0	1	1	1
YOR054C	XV	427833	429857	-	2025	443	441	410	340	358	324
YOR055W	XV	429478	429912	+	435	8	4	2	5	9	7
YOR056C	XV	430247	431626	-	1380	130	115	125	515	537	507
YOR057W	XV	432186	433373	+	1188	263	304	261	425	434	381
YOR058C	XV	433688	436345	-	2658	116	96	107	361	417	355
tK(UUU)O	XV;XV	438643;438703	438679;438738	+;+	73	3	2	3	14	20	12
YOR059C	XV	438906	440258	-	1353	293	266	257	644	688	649
YOR060C	XV	440390	441163	-	774	71	51	69	128	138	138
YOR061W	XV	441534	442553	+	1020	288	291	267	397	332	368
YOR062C	XV	442725	443531	-	807	585	560	581	712	774	731
YOR063W	XV	444686	445849	+	1164	4244	4333	4129	5297	5447	5225
YOR064C	XV	446079	446738	-	660	144	121	127	317	348	337
YOR065W	XV	447439	448368	+	930	836	832	889	647	570	604
YOR066W	XV	449436	451325	+	1890	285	266	302	256	215	247
YOR067C	XV	451729	453462	-	1734	648	689	646	503	510	497
YOR069W	XV	453768	455795	+	2028	296	260	267	295	355	278
YOR068C	XV	453869	454213	-	345	0	0	0	0	0	0
YOR070C	XV	455907	457820	-	1914	313	321	328	301	290	291
YOR071C	XV	459480	461276	-	1797	644	567	581	200	196	216
YOR072W	XV	461502	461816	+	315	48	36	51	19	19	29
YOR072W-A	XV	461791	462039	+	249	19	17	18	37	27	41
tP(UGG)O2	XV;XV	464450;464516	464485;464551	+;+	72	0	0	0	0	0	1
YOR072W-B	XV	464469	464630	+	162	0	0	0	0	0	0
YOR073W	XV	464771	466543	+	1773	194	203	193	347	393	367
YOR074C	XV	466675	467589	-	915	97	105	100	105	83	111
YOR073W-A	XV	467390	467623	+	234	1	1	1	0	0	3
YOR075W	XV	468212	469252	+	1041	127	138	131	464	477	478
YOR076C	XV	469377	471620	-	2244	220	235	232	484	509	485
YOR077W	XV	471899	472597	+	699	93	83	83	192	205	170
YOR078W	XV	472725	473369	+	645	94	102	82	372	355	362
YOR079C	XV	473475	474416	-	942	172	204	208	224	231	225
YOR080W	XV	474594	476792	+	2199	163	162	181	266	262	261
YOR081C	XV	476939	479188	-	2250	812	749	745	530	500	584
YOR082C	XV	479296	479637	-	342	5	10	15	18	22	14
YOR083W	XV	479533	480420	+	888	76	59	71	67	53	60
YOR084W	XV	480587	481750	+	1164	123	143	116	51	63	71
YOR085W	XV	482033	483085	+	1053	1035	1079	1006	763	766	766
YOR086C	XV	483219	486779	-	3561	3099	3030	3054	1425	1410	1400
tN(GUU)O2	XV	487439	487512	+	74	0	0	0	0	0	2
YOR087W	XV	487707	489734	+	2028	462	463	453	403	443	442
YOR089C	XV	490196	490828	-	633	544	560	577	1004	1075	990
YOR090C	XV	491123	492841	-	1719	668	637	688	607	643	624
YOR091W	XV	493433	494470	+	1038	336	301	331	547	550	545
YOR092W	XV	495127	496968	+	1842	831	807	784	677	697	707
YOR093C	XV	497506	502452	-	4947	388	409	378	690	673	704
YOR094W	XV	502795	503346	+	552	81	90	86	271	300	297
YOR095C	XV	503552	504328	-	777	26	44	39	175	183	178
YOR096W	XV;XV	505794;506339	505937;506767	+;+	573	1007	987	974	1627	1654	1663
YOR097C	XV	506978	507505	-	528	114	123	121	189	209	212
YOR098C	XV	507948	511178	-	3231	996	1039	923	1136	1210	1110
YOR099W	XV	511825	513006	+	1182	1462	1565	1497	1340	1317	1355
YOR100C	XV	513295	514278	-	984	92	101	105	92	79	95
YOR101W	XV	515244	516173	+	930	29	31	41	130	140	114
YOR102W	XV	516423	516773	+	351	6	9	11	10	6	5
YOR103C	XV	516449	516841	-	393	67	62	64	87	83	82
YOR104W	XV	517642	518490	+	849	59	55	58	70	75	63
YOR105W	XV	518195	518521	+	327	3	4	1	0	5	0
YOR106W	XV	519121	519972	+	852	83	79	96	135	156	154
YOR107W	XV	521353	522282	+	930	55	53	43	127	131	114
YOR108W	XV	523027	524841	+	1815	137	173	143	226	229	230
YOR108C-A	XV	524605	524814	-	210	0	0	0	0	0	0
YOR109W	XV	525278	528601	+	3324	787	759	799	455	527	477
YOR110W	XV	528941	530248	+	1308	181	190	225	293	257	281
YOR111W	XV	530429	531127	+	699	42	51	37	157	153	151
YOR112W	XV	531508	533793	+	2286	396	379	376	326	395	362
YOR113W	XV	534075	536819	+	2745	319	326	310	404	390	360
YOR114W	XV	537570	538454	+	885	58	60	52	82	80	79
YOR115C	XV	538659	539465	-	807	124	114	98	217	251	218
YOR116C	XV	539763	544145	-	4383	1109	1122	1007	998	1050	975
YOR117W	XV	545029	546333	+	1305	1731	1688	1664	1139	1220	1153
YOR118W	XV	546857	548560	+	1704	272	272	289	385	376	365
YOR119C	XV	548792	550246	-	1455	138	128	112	240	261	262
YOR120W	XV	551114	552052	+	939	362	356	321	291	288	282
YOR121C	XV	551798	552103	-	306	20	11	12	60	34	55
YOR122C	XV;XV	552298;552875	552665;552887	-;-	381	2727	2651	2656	3784	3677	3467
YOR123C	XV	553176	554570	-	1395	277	288	279	1130	1167	1121
YOR124C	XV	554824	558642	-	3819	1240	1325	1268	1188	1154	1187
YOR125C	XV	559030	559731	-	702	233	227	201	190	197	186
YOR126C	XV	559961	560677	-	717	136	162	141	129	123	101
YOR127W	XV	561170	564193	+	3024	410	431	412	406	396	334
YOR128C	XV	564476	566191	-	1716	1037	1031	1093	661	727	701
YOR129C	XV	566877	569558	-	2682	227	231	254	296	271	265
YOR130C	XV	569929	570807	-	879	167	193	158	170	217	240
tD(GUC)O	XV	571958	572029	+	72	7	7	7	3	4	2
YOR131C	XV	572182	572838	-	657	147	136	139	226	268	192
YOR132W	XV	573175	574830	+	1656	771	788	744	693	694	648
YOR133W	XV	575098	577626	+	2529	778	759	680	548	578	499
YOR134W	XV	578564	579793	+	1230	286	296	262	297	296	294
YOR135C	XV	580159	580500	-	342	41	45	36	73	93	73
YOR136W	XV	580250	581359	+	1110	1408	1385	1296	849	865	820
YOR137C	XV	581813	583681	-	1869	353	333	364	364	327	318
YOR138C	XV	584309	586324	-	2016	738	825	804	582	647	597
YOR139C	XV	586950	587342	-	393	1	1	1	0	3	2
YOR140W	XV	586981	589281	+	2301	282	283	259	188	178	175
YOR141C	XV	589942	592587	-	2646	505	474	511	641	635	669
YOR142W	XV	593057	594046	+	990	1912	1847	1868	1035	1045	1039
tG(CCC)O	XV	594354	594425	-	72	11	14	20	21	9	18
YOR142W-B	XV	595112	600380	+	5269	5	8	6	6	6	9
YOR142W-A	XV	595112	596434	+	1323	0	0	0	0	0	0
YOR143C	XV	601383	602342	-	960	70	52	58	103	123	115
YOR144C	XV	602717	605092	-	2376	99	100	98	198	214	242
YOR145C	XV	605347	606171	-	825	25	25	30	266	231	256
YOR146W	XV	605873	606178	+	306	0	0	0	0	0	0
YOR147W	XV	606607	608475	+	1869	280	303	265	558	549	514
YOR148C	XV	608640	609197	-	558	137	121	140	327	320	332
YOR149C	XV	609838	611388	-	1551	243	196	218	315	286	276
YOR150W	XV	611999	612490	+	492	251	243	251	278	285	285
YOR151C	XV	612997	616671	-	3675	2316	2319	2222	1556	1656	1624
YOR152C	XV	617518	618288	-	771	315	295	315	268	301	299
YOR153W	XV	619840	624375	+	4536	14623	14313	14240	11425	11485	11228
YOR154W	XV	624729	626492	+	1764	127	121	137	274	262	232
YOR155C	XV	626628	627980	-	1353	588	569	602	376	393	398
YOR156C	XV	628360	630540	-	2181	289	263	255	223	198	228
YOR157C	XV	630966	631751	-	786	1344	1264	1274	658	667	665
YOR158W	XV	632164	633120	+	957	160	143	136	274	273	273
YOR159C	XV	633282	633566	-	285	85	83	97	185	152	161
YOR160W	XV	633839	636757	+	2919	559	578	526	348	362	329
YOR161C	XV	636939	638558	-	1620	18174	17977	17612	4055	4117	3943
YOR161W-A	XV	637574	637654	+	81	0	0	0	0	0	0
YOR161W-B	XV	637975	638235	+	261	0	0	0	0	0	0
YOR161C-C	XV	639121	639267	-	147	91	76	55	29	39	33
YOR162C	XV	639560	641992	-	2433	557	634	571	382	399	363
YOR163W	XV	642741	643307	+	567	287	305	290	349	349	368
YOR164C	XV	643394	644332	-	939	371	411	354	657	695	640
YOR165W	XV	644566	646896	+	2331	502	493	467	601	570	589
YOR166C	XV	647126	648502	-	1377	98	110	90	246	246	244
YOR167C	XV	648804	649007	-	204	2724	2661	2632	5399	5635	5391
YOR168W	XV	649303	651732	+	2430	1081	1055	1003	1089	1112	1053
YOR169C	XV	651376	651840	-	465	0	0	0	1	2	2
YOR170W	XV	651858	652163	+	306	3	5	3	5	7	3
YOR171C	XV	652010	653884	-	1875	530	487	495	439	445	450
YOR172W	XV	654210	656570	+	2361	277	264	250	248	283	279
YOR173W	XV	657264	658325	+	1062	2134	2153	2048	1039	1061	1016
YOR174W	XV	658747	659601	+	855	177	217	192	385	400	398
YOR175C	XV	659815	661674	-	1860	811	816	781	567	593	585
YOR176W	XV	662401	663582	+	1182	746	727	775	404	428	433
tV(AAC)O	XV	663812	663885	-	74	0	1	0	3	3	5
YOR177C	XV	665785	667179	-	1395	69	59	61	131	150	127
YOR178C	XV	667860	670241	-	2382	246	246	236	209	205	194
YOR179C	XV	671845	672411	-	567	38	37	44	129	134	122
YOR180C	XV	674352	675167	-	816	95	98	113	76	79	71
YOR181W	XV	675939	677840	+	1902	425	399	417	90	91	100
YOR182C	XV;XV	678191;678791	678379;678793	-;-	192	561	577	540	1705	1763	1630
YOR183W	XV	678872	679261	+	390	5	7	10	23	32	28
YOR184W	XV	679357	680544	+	1188	794	797	766	1176	1282	1176
snR36	XV	680685	680866	-	182	19	25	25	557	577	537
YOR185C	XV	681444	682106	-	663	901	866	950	481	491	498
YOR186W	XV	683111	683545	+	435	55	60	71	76	90	73
YOR186C-A	XV	683329	683538	-	210	0	0	0	0	0	0
YOR187W	XV	684030	685343	+	1314	1125	1207	1200	1341	1321	1263
YOR188W	XV	685767	689180	+	3414	238	233	191	254	232	240
YOR189W	XV	689624	689974	+	351	76	76	74	193	161	164
YOR190W	XV	690695	692032	+	1338	93	75	80	127	129	139
YOR191W	XV	692475	697334	+	4860	619	640	561	810	822	770
YOR192C	XV	698768	700567	-	1800	109	109	99	115	118	109
YOR192C-C	XV	703988	704224	-	237	2	1	3	4	2	3
YOR192C-B	XV	704419	709732	-	5314	6	11	7	6	10	7
YOR192C-A	XV	708416	709732	-	1317	0	0	0	0	0	0
tM(CAU)O1	XV	710201	710272	+	72	0	0	0	0	1	0
YOR193W	XV	710446	711576	+	1131	111	116	109	254	294	280
YOR194C	XV	711683	712543	-	861	210	230	252	576	543	513
YOR195W	XV	712866	715331	+	2466	121	99	113	442	529	454
YOR196C	XV	715593	716837	-	1245	316	293	292	411	437	412
YOR197W	XV	717086	718384	+	1299	1436	1430	1350	959	1002	947
YOR198C	XV	718653	720065	-	1413	822	737	747	1028	1027	1032
YOR199W	XV	720181	720510	+	330	12	8	10	29	27	21
YOR200W	XV	720417	720815	+	399	0	0	0	0	0	0
YOR201C	XV	720470	721708	-	1239	123	126	137	92	86	108
YOR202W	XV	721946	722608	+	663	0	0	0	0	0	2
YOR203W	XV	722565	722918	+	354	0	0	3	1	1	2
YOR204W	XV	722911	724725	+	1815	1934	1889	1818	787	717	715
YOR205C	XV	725564	727234	-	1671	92	84	88	131	144	150
YOR206W	XV	727512	729644	+	2133	19	31	32	287	292	294
YOR207C	XV	730008	733457	-	3450	420	429	387	722	777	710
YOR208W	XV	733925	736177	+	2253	316	297	305	399	383	357
YOR209C	XV	736437	737726	-	1290	656	685	685	804	842	822
YOR210W	XV	738320	738532	+	213	92	91	87	294	280	278
YOR211C	XV	738924	741569	-	2646	338	317	328	365	373	339
YOR212W	XV	742910	744181	+	1272	275	304	312	479	546	473
YOR213C	XV	744535	745281	-	747	143	124	134	180	169	189
YOR214C	XV	745593	746303	-	711	10	8	13	15	19	15
YOR215C	XV	746725	747282	-	558	160	180	134	329	296	294
YOR216C	XV	747525	748979	-	1455	137	113	105	228	282	272
YOR217W	XV	749301	751886	+	2586	336	340	306	248	263	282
YOR218C	XV	751476	751895	-	420	2	2	0	1	1	0
YOR219C	XV	752214	755009	-	2796	1294	1279	1256	902	929	888
YOR220W	XV	755328	756125	+	798	1366	1366	1273	1174	1263	1249
YOR221C	XV	756476	757558	-	1083	445	459	439	403	349	355
YOR222W	XV	758330	759253	+	924	469	423	470	1930	1942	1875
snR35	XV	759326	759529	-	204	179	194	190	14788	15360	14692
YOR223W	XV	759782	760660	+	879	534	502	501	366	325	332
YOR224C	XV	760825	761265	-	441	335	319	300	549	547	490
YOR225W	XV	761392	761721	+	330	8	9	4	8	19	13
YOR226C	XV	761614	762084	-	471	171	184	203	172	198	163
YOR227W	XV	762825	766565	+	3741	2142	2152	2083	1023	1045	989
YOR228C	XV	766869	767777	-	909	240	290	248	203	198	166
YOR229W	XV	768409	769812	+	1404	235	259	229	368	352	382
YOR230W	XV	770800	772113	+	1314	3714	3795	3710	1281	1291	1219
YOR231W	XV	772601	774127	+	1527	426	416	413	275	252	239
YOR231C-A	XV	773163	773363	-	201	0	0	0	0	0	0
YOR232W	XV	774573	775259	+	687	183	190	195	413	369	370
YOR233W	XV	775846	778248	+	2403	212	220	197	309	311	286
YOR234C	XV;XV	778555;779387	778859;779405	-;-	324	317	282	284	864	818	769
YOR235W	XV	779870	780184	+	315	7	6	11	23	20	27
snR17a	XV;XV	780107;780278	780120;780596	+;+	333	117	142	122	2090	2055	2038
YOR236W	XV	780906	781541	+	636	137	132	145	158	177	140
YOR237W	XV	781994	783298	+	1305	71	57	77	175	149	159
YOR238W	XV	783677	784588	+	912	121	121	137	458	475	468
YOR239W	XV;XV	784857;785689	785687;786744	+;+	1887	399	418	400	482	490	506
YOR241W	XV	786995	788641	+	1647	282	284	274	302	320	321
YOR242C	XV	788742	789857	-	1116	19	21	12	35	41	56
YOR243C	XV	790211	792241	-	2031	153	165	153	364	397	371
YOR244W	XV	792531	793868	+	1338	189	165	165	341	328	358
YOR245C	XV	794076	795332	-	1257	680	675	683	739	709	699
YOR246C	XV	795801	796793	-	993	1512	1522	1546	1459	1582	1432
YOR247W	XV	797676	798308	+	633	5328	5121	4924	2217	2210	2174
YOR248W	XV	798013	798315	+	303	16	6	9	4	4	8
YOR249C	XV	798674	800731	-	2058	135	124	132	324	343	347
YOR250C	XV	800970	802307	-	1338	302	274	267	233	236	247
YOR251C	XV	802550	803464	-	915	300	319	306	378	400	426
YOR252W	XV	803667	804203	+	537	35	13	32	327	334	302
YOR253W	XV	804377	804907	+	531	149	138	154	494	494	520
YOR254C	XV	805032	807023	-	1992	616	568	626	877	896	836
YOR255W	XV	807271	808107	+	837	1	5	5	17	15	13
YOR256C	XV	808254	810683	-	2430	398	460	388	478	536	480
YOR257W	XV	811008	811493	+	486	92	88	94	232	242	234
YOR258W	XV	811671	812324	+	654	57	65	70	187	199	184
YOR259C	XV	812395	813708	-	1314	1206	1197	1211	1516	1561	1484
YOR260W	XV	813984	815720	+	1737	708	689	699	822	719	701
YOR261C	XV	815915	816931	-	1017	814	821	845	1734	1814	1737
YOR262W	XV	817292	818335	+	1044	254	214	251	1040	1094	1055
YOR263C	XV	818757	819164	-	408	2	0	0	4	8	0
YOR264W	XV	818866	820158	+	1293	101	107	105	169	196	187
YOR265W	XV	820454	820774	+	321	130	110	134	474	481	454
YOR266W	XV	821023	822294	+	1272	48	66	50	128	131	150
YOR267C	XV	822588	824867	-	2280	1022	973	916	640	610	620
YOR268C	XV	825534	825932	-	399	24	27	27	67	55	66
YOR269W	XV	826385	827869	+	1485	238	205	207	253	256	237
YOR270C	XV	828052	830574	-	2523	5095	4999	4995	3366	3357	3210
YOR271C	XV	831059	832042	-	984	391	422	378	550	604	551
snR8	XV	832332	832521	+	190	266	263	248	11438	11668	11529
YOR272W	XV	832813	834195	+	1383	45	54	63	401	425	410
YOR273C	XV	834452	836431	-	1980	5189	5099	5064	2376	2387	2369
YOR274W	XV	837674	838960	+	1287	165	147	161	380	385	363
YOR275C	XV	839084	841069	-	1986	624	629	646	1078	1060	1072
YOR276W	XV	841333	841818	+	486	90	83	94	214	198	201
YOR277C	XV	841515	841823	-	309	10	9	10	7	15	12
snR31	XV	841958	842182	-	225	131	175	155	5307	5445	5190
snR5	XV	842403	842606	+	204	151	119	122	3656	3688	3670
YOR278W	XV	842817	843644	+	828	112	97	105	379	405	385
YOR279C	XV	843698	844630	-	933	80	75	82	314	299	348
YOR280C	XV	844992	845792	-	801	240	262	231	481	499	473
YOR281C	XV	846269	847129	-	861	148	159	161	431	450	419
YOR282W	XV	847000	847320	+	321	3	4	3	11	12	6
YOR283W	XV	847453	848145	+	693	142	157	150	504	554	523
YOR284W	XV	848478	849209	+	732	62	105	89	250	208	245
YOR285W	XV	849635	850054	+	420	2335	2309	2232	3324	3399	3255
YOR286W	XV	850280	850729	+	450	193	187	224	499	504	434
YOR287C	XV	850937	851839	-	903	17	25	18	267	231	250
YOR288C	XV	852121	853077	-	957	350	339	352	417	496	420
YOR289W	XV	853357	854112	+	756	157	190	167	405	407	415
tA(UGC)O	XV	854187	854259	-	73	5	3	7	5	5	6
YOR290C	XV	855147	860258	-	5112	882	904	912	614	602	556
YOR291W	XV	861175	865593	+	4419	1038	1055	1008	423	418	392
YOR292C	XV	865653	866582	-	930	273	309	292	221	247	199
YOR293W	XV;XV	867098;867587	867149;867852	+;+	318	615	619	589	1773	1833	1863
YOR293C-A	XV	867998	868147	-	150	2	2	3	26	35	34
YOR294W	XV	868340	868951	+	612	13	23	14	150	152	140
YOR295W	XV	869208	869894	+	687	40	54	53	246	242	252
YOR296W	XV	870202	874071	+	3870	223	225	173	371	379	362
YOR297C	XV	874743	875321	-	579	83	84	111	138	138	145
YOR298W	XV	875599	877038	+	1440	186	174	188	417	436	391
YOR298C-A	XV	877230	877685	-	456	9554	9454	9227	11660	12171	11507
YOR299W	XV	878435	880675	+	2241	1030	1025	989	1281	1328	1244
YOR300W	XV	880575	880883	+	309	15	15	17	16	14	24
YOR301W	XV	880965	882272	+	1308	328	311	303	284	300	304
YOR302W	XV	882765	882842	+	78	31	25	31	110	103	113
YOR303W	XV	882899	884134	+	1236	882	879	851	1598	1757	1610
YOR304W	XV	884514	887876	+	3363	398	410	389	615	624	596
YOR304C-A	XV	888520	888750	-	231	57	47	54	99	102	100
YOR305W	XV	889022	889750	+	729	79	71	80	188	173	184
YOR306C	XV	889867	891432	-	1566	363	344	351	240	244	232
YOR307C	XV	892731	894092	-	1362	353	375	369	373	421	390
YOR308C	XV	894624	896387	-	1764	79	97	81	190	208	188
YOR309C	XV	896698	897078	-	381	1	1	5	21	21	33
YOR310C	XV	896825	898360	-	1536	184	169	172	1484	1628	1452
YOR311C	XV	899056	899928	-	873	386	406	406	637	690	650
YOR312C	XV	900250	900767	-	518	542	595	527	1570	1571	1502
YOR313C	XV	901858	902874	-	1017	6	7	7	24	21	21
YOR314W	XV	903043	903372	+	330	1	2	1	4	2	9
YOR314W-A	XV	904458	904568	+	111	1	0	1	3	10	8
YOR315W	XV	904760	905800	+	1041	23	18	25	86	98	127
YOR316C	XV	906236	907555	-	1320	602	529	611	354	385	321
YOR316C-A	XV	907726	907935	-	210	11	8	5	17	7	15
YOR317W	XV	909343	911445	+	2103	3244	3368	3186	2082	2018	2031
YOR318C	XV;XV	911784;912433	912085;912436	-;-	306	42	47	54	164	170	156
YOR319W	XV	912822	913463	+	642	67	58	58	197	208	211
YOR320C	XV	913619	915094	-	1476	208	224	253	351	324	370
YOR321W	XV	916030	918291	+	2262	655	632	663	392	388	386
YOR322C	XV	918606	921062	-	2457	719	680	682	470	499	519
YOR323C	XV	921535	922905	-	1371	629	646	569	764	790	791
YOR324C	XV	923232	925040	-	1809	177	187	197	195	193	177
YOR325W	XV	924577	925050	+	474	0	0	1	0	0	2
YOR326W	XV	925721	930445	+	4725	2090	2189	2140	2824	2878	2869
YOR327C	XV	930734	931081	-	348	284	212	258	382	364	326
YOR328W	XV	931803	936497	+	4695	1483	1480	1465	703	706	642
YOR329C	XV	936731	939349	-	2619	463	474	419	298	334	289
YOR329W-A	XV	939348	939557	+	210	9	10	10	8	13	8
YOR330C	XV	939621	943385	-	3765	749	717	727	502	551	508
YOR331C	XV	943565	944122	-	558	8	7	8	0	0	3
YOR332W	XV	943656	944357	+	702	523	512	548	409	418	412
YOR333C	XV	944541	944957	-	417	1	5	4	7	3	9
YOR334W	XV	944596	946008	+	1413	44	38	47	57	68	69
YOR335C	XV	946233	949109	-	2877	1238	1216	1247	1384	1387	1428
YOR335W-A	XV	946568	946648	+	81	0	0	0	0	0	0
YOR336W	XV	949773	953870	+	4098	699	712	728	707	747	713
YOR337W	XV	954344	956623	+	2280	158	168	144	127	113	110
YOR338W	XV	956898	957989	+	1092	32	24	34	46	58	50
YOR339C	XV	958362	958832	-	471	22	19	11	63	77	58
YOR340C	XV	959202	960182	-	981	32	39	42	178	173	151
YOR341W	XV	960987	965981	+	4995	164	178	202	1440	1455	1415
YOR342C	XV	966666	967625	-	960	67	51	53	189	178	180
YOR343C	XV	968148	968474	-	327	15	14	16	25	26	26
YOR343W-B	XV	970578	975891	+	5314	43	51	43	73	71	74
YOR343W-A	XV	970578	971894	+	1317	0	0	0	0	0	0
tM(CAU)O2	XV	976421	976493	+	73	0	0	0	1	0	0
YOR344C	XV	977194	978069	-	876	156	159	154	564	592	530
tP(UGG)O3	XV;XV	980683;980752	980718;980787	+;+	72	23	21	14	98	115	93
YOR345C	XV	981812	982162	-	351	1	3	1	2	4	2
YOR346W	XV	981828	984785	+	2958	489	495	504	407	382	384
YOR347C	XV	984942	986462	-	1521	778	800	774	405	367	393
YOR348C	XV	986899	988782	-	1884	3555	3433	3371	1239	1211	1204
YOR349W	XV	989789	992833	+	3045	550	575	518	624	666	647
YOR350C	XV	992864	994855	-	1992	123	131	131	221	262	200
YOR351C	XV	995018	996511	-	1494	51	62	60	102	103	102
YOR352W	XV	997213	998244	+	1032	114	128	149	140	135	137
YOR353C	XV	998453	1000828	-	2376	595	564	589	1031	987	954
YOR354C	XV	1001147	1003225	-	2079	307	313	322	678	701	628
YOR355W	XV	1005137	1006705	+	1569	532	572	536	720	678	704
YOR356W	XV	1007221	1009116	+	1896	836	829	881	545	592	531
YOR357C	XV	1009224	1009712	-	489	144	185	143	469	497	477
YOR358W	XV	1010161	1010889	+	729	175	173	146	288	279	284
YOR359W	XV	1011189	1012760	+	1572	102	130	121	121	149	128
YOR360C	XV	1013241	1014821	-	1581	622	600	597	908	884	890
YOR361C	XV	1015361	1017652	-	2292	1465	1369	1341	1605	1581	1503
YOR362C	XV	1017880	1018746	-	867	1520	1575	1439	1663	1717	1606
YOR363C	XV	1020222	1023212	-	2991	295	253	268	347	304	328
YOR364W	XV	1023371	1023739	+	369	1	2	3	2	3	2
YOR365C	XV	1023461	1025572	-	2112	65	73	58	77	92	98
YOR366W	XV	1025256	1025609	+	354	0	1	0	0	1	0
YOR367W	XV	1026007	1026609	+	603	170	158	163	371	382	396
YOR368W	XV	1026843	1028048	+	1206	132	135	147	449	466	439
YOR369C	XV	1028194	1028625	-	432	5783	5556	5415	8193	8296	7903
YOR370C	XV	1029183	1030994	-	1812	721	668	705	491	526	484
YOR371C	XV	1031489	1034182	-	2694	564	514	487	613	548	538
YOR372C	XV	1034807	1036471	-	1665	505	450	439	441	415	423
YOR373W	XV	1036834	1039389	+	2556	322	361	296	246	270	260
YOR374W	XV	1039840	1041399	+	1560	16738	16746	16060	2790	2863	2703
YOR375C	XV	1041678	1043042	-	1365	1684	1733	1638	1916	1799	1833
YOR376W	XV	1043191	1043559	+	369	18	18	19	10	9	8
YOR376W-A	XV	1045196	1045351	+	156	25	40	31	16	36	32
YOR377W	XV	1046226	1047803	+	1578	367	332	375	210	211	213
YOR378W	XV	1049511	1051058	+	1548	118	120	118	102	100	102
YOR379C	XV	1050726	1051064	-	339	0	0	0	0	0	0
YOR380W	XV	1051290	1052930	+	1641	283	227	253	273	213	221
YOR381W	XV	1055545	1057680	+	2136	197	203	213	254	253	249
YOR381W-A	XV	1058423	1058590	+	168	8	9	7	6	11	5
YOR382W	XV	1059531	1059992	+	462	106	89	119	302	325	301
YOR383C	XV	1060441	1061055	-	615	385	385	354	252	300	282
YOR384W	XV	1061564	1063648	+	2085	715	666	637	417	465	424
YOR385W	XV	1065043	1065915	+	873	131	137	132	273	265	281
YOR386W	XV	1066839	1068536	+	1698	169	164	154	225	218	236
YOR387C	XV	1069621	1070241	-	621	72	93	77	63	50	55
YOR388C	XV	1071793	1072923	-	1131	6	8	7	5	4	1
YOR389W	XV	1074213	1076087	+	1875	59	63	69	41	36	43
YOR390W	XV	1076784	1077911	+	1128	20	20	15	37	27	33
YOR391C	XV	1078545	1079258	-	714	2	5	4	12	5	3
YOR392W	XV	1079282	1079725	+	444	1	3	2	4	2	5
YOR393W	XV	1080276	1081589	+	1314	1	2	3	2	4	3
YOR394W	XV	1082718	1083212	+	495	0	0	0	0	0	0
YOR394C-A	XV	1084202	1084369	-	168	1	5	2	3	7	3
YOR396W	XV	1085473	1090863	+	5391	5	7	3	4	6	4
